normalizer,source_token,class_sequence
PHONO-FR-v1,avec,A F E S
PHONO-FR-v1,amytié,A M I T I E
PHONO-FR-v1,sembloit,S E M P L O I T
PHONO-FR-v1,Toutesfois,T O U T E S F O I S
PHONO-FR-v1,eust,E U S T
PHONO-FR-v1,pas,P A S
PHONO-FR-v1,voulu,F O U L U
PHONO-FR-v1,recommancer,R E K O M M A N S E R
PHONO-FR-v1,prendre,P R E N T R E
PHONO-FR-v1,une,U N E
PHONO-FR-v1,là,L A
PHONO-FR-v1,seulement,S E U L E M E N T
PHONO-FR-v1,taschoit,T A S SH O I T
PHONO-FR-v1,povoir,P O F O I R
PHONO-FR-v1,mectre,M E K T R E
PHONO-FR-v1,grande,K R A N T E
PHONO-FR-v1,rebellion,R E P E L L I O N
PHONO-FR-v1,pays,P A I S
PHONO-FR-v1,esperoit,E S P E R O I T
PHONO-FR-v1,pointz,P O I N T S
PHONO-FR-v1,s,S
PHONO-FR-v1,dessus,T E S S U S
PHONO-FR-v1,ce,S E
PHONO-FR-v1,moyen,M O I E N
PHONO-FR-v1,Beaucoup,P E A U K O U P
PHONO-FR-v1,plaire,P L A I R E
PHONO-FR-v1,mesloient,M E S L O I E N T
PHONO-FR-v1,raportoyent,R A P O R T O I E N T
PHONO-FR-v1,choses,SH O S E S
PHONO-FR-v1,beaucoup,P E A U K O U P
PHONO-FR-v1,trouvoient,T R O U F O I E N T
PHONO-FR-v1,vantoyent,F A N T O I E N T
PHONO-FR-v1,ville,F I L L E
PHONO-FR-v1,autres,A U T R E S
PHONO-FR-v1,disoyent,T I S O I E N T
PHONO-FR-v1,substrairoyent,S U P S T R A I R O I E N T
PHONO-FR-v1,grands,K R A N T S
PHONO-FR-v1,personnaiges,P E R S O N N A I SH E S
PHONO-FR-v1,sa,S A
PHONO-FR-v1,maison,M A I S O N
PHONO-FR-v1,tourneroient,T O U R N E R O I E N T
PHONO-FR-v1,partye,P A R T I E
PHONO-FR-v1,Mais,M A I S
