a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_families
chey,kar,510,58,581,47,0.31562991620435343,25
qo,qoty,51,84,56,72,0.31544983675475174,12
shol,shcthy,176,30,179,36,0.3154317520168507,16
chol,ain,367,149,365,105,0.3152273734009328,24
shar,cho,34,77,24,58,0.31499969238326314,5
oky,oty,103,114,92,79,0.3149613561567592,17
shor,shy,91,94,87,82,0.3148648840257147,13
chor,chl,215,33,199,30,0.3145888929431152,15
oly,qoky,65,137,37,113,0.3142300974702635,14
dain,r,173,196,145,180,0.3142107230587648,26
dar,chedy,287,341,245,408,0.31374451590976354,49
dal,sar,190,77,138,49,0.3136409278595879,15
chdy,ol,108,588,112,628,0.3131318428841744,50
dar,chl,287,33,245,30,0.3130788693699379,11
oly,sar,65,77,37,49,0.3130107162734597,10
sho,dair,118,93,124,76,0.3128178856552144,19
sho,chy,118,197,124,151,0.31281136489779804,30
cthy,kchy,100,36,71,35,0.31269686276826947,6
ol,shor,588,91,628,87,0.3125156922609446,31
chey,oly,510,65,581,37,0.312207381630224,17
ckhy,chedy,38,341,29,408,0.3119910303868127,15
tar,chl,43,33,36,30,0.3119588740528886,8
s,chal,328,59,285,55,0.3118527585984639,21
qo,cheo,51,75,56,58,0.3116113513990391,12
shey,shcthy,344,30,382,36,0.311421313681319,21
y,shedy,210,255,185,298,0.3114062644606798,36
ain,qo,149,51,105,56,0.31129985640235236,11
dain,sal,173,48,145,42,0.31106726453978045,14
ckhey,cthey,32,47,32,47,0.31081147595432457,9
am,tar,115,43,39,36,0.3106832215796711,9
dain,ckhey,173,32,145,32,0.31066390097531804,13
cthey,key,47,33,47,36,0.31061826246096835,8
she,al,41,311,34,250,0.3101604825580099,16
sho,chckhy,118,141,124,156,0.3101020364356034,23
sho,kol,118,35,124,32,0.3100868364730211,12
char,kal,79,30,74,27,0.3100327625626836,9
cthy,char,100,79,71,74,0.30989443226575275,9
ain,chey,149,510,105,581,0.30987190289183864,36
she,chody,41,80,34,87,0.30970589426965256,11
dar,key,287,33,245,36,0.3096131511294911,14
dain,kal,173,30,145,27,0.30944592061364706,10
sho,cthol,118,55,124,40,0.3093969872615047,8
shody,dar,50,287,44,245,0.30929259580917456,20
shar,dy,34,204,24,144,0.30907331782195896,9
y,d,210,53,185,32,0.3090649135394545,11
kar,qol,58,147,47,143,0.30899690433159727,11
or,air,390,95,407,76,0.3086895834780505,30
chdy,she,108,41,112,34,0.3079565902914373,17
cthy,shey,100,344,71,382,0.30761675157614327,27
shey,oty,344,114,382,79,0.3075828398778583,31
cthor,shcthy,45,30,41,36,0.30754069777539583,5
r,chl,196,33,180,30,0.30740174824476574,9
oly,tar,65,43,37,36,0.3073181485764296,7
chal,lor,59,38,55,42,0.30713563475547073,8
y,cthey,210,47,185,47,0.3071019164584181,19
sho,chcthy,118,84,124,88,0.30684663644823473,21
cthy,shor,100,91,71,87,0.30679802707004433,13
shy,shckhy,94,55,82,67,0.3067050196328208,7
shar,dain,34,173,24,145,0.306697048856629,9
kchy,sol,36,63,35,76,0.3062559380486915,7
y,kar,210,58,185,47,0.30610359008691324,19
oky,key,103,33,92,36,0.3060730460762072,13
shody,ain,50,149,44,105,0.30606668389142,8
daly,air,33,95,25,76,0.30592618704273405,7
dair,chckhy,93,141,76,156,0.3052097087491338,17
ol,chl,588,33,628,30,0.30494482880594026,13
shol,s,176,328,179,285,0.3049106301485368,25
or,dol,390,97,407,91,0.30474265722317134,25
dy,ches,204,44,144,45,0.30464244212496,17
s,she,328,41,285,34,0.30404267209986263,11
oty,chedy,114,341,79,408,0.3036551734036213,31
qoky,lor,137,38,113,42,0.3035118901037139,7
shody,dal,50,190,44,138,0.3034457387888852,14
tol,cheo,42,75,46,58,0.30285653714467425,8
sar,l,77,156,49,144,0.30284852439570864,11
chey,oty,510,114,581,79,0.30269770429390336,32
kar,oty,58,114,47,79,0.30237987426533103,10
shody,ckhey,50,32,44,32,0.3023715784073818,6
ain,key,149,33,105,36,0.30212856394343385,10
shar,al,34,311,24,250,0.30201225376659496,16
kol,sor,35,43,32,47,0.3018691769624716,7
chor,kchy,215,36,199,35,0.3016219300737165,7
qoty,oty,84,114,72,79,0.301408609151562,16
