a,b,family,support_a,support_b,TV,top_a,top_a_pct,top_b,top_b_pct,different_top
dar,ain,LF0003,12,9,0.2777777777777778,DY,50.0,y,55.55555555555556,True
or,ain,LF0003,15,9,0.2666666666666667,DY,40.0,y,55.55555555555556,True
or,chey,LF0003,15,9,0.26666666666666666,DY,40.0,y,66.66666666666667,True
dain,qol,LF0003,13,25,0.2584615384615384,y,53.84615384615385,DY,48.0,True
al,l,LF0003,12,16,0.25,DY,50.0,y,50.0,True
l,shedy,LF0003,16,8,0.25,y,50.0,DY,75.0,True
dar,chey,LF0003,12,9,0.24999999999999997,DY,50.0,y,66.66666666666667,True
al,qoky,LF0003,12,10,0.24999999999999997,DY,50.0,y,50.0,True
shey,chey,LF0001,27,24,0.24074074074074073,a·r,33.333333333333336,e·y,29.166666666666668,True
qol,l,LF0003,25,16,0.24,DY,48.0,y,50.0,True
or,ol,LF0007,15,11,0.23636363636363633,l,46.666666666666664,r,45.45454545454545,True
chor,ol,LF0007,15,11,0.23636363636363633,l,53.333333333333336,r,45.45454545454545,True
shey,chedy,LF0018,11,16,0.23295454545454544,DY,54.54545454545455,y,56.25,True
or,dain,LF0003,15,13,0.21538461538461537,DY,40.0,y,53.84615384615385,True
ol,qol,LF0003,42,25,0.2114285714285714,y,45.23809523809524,DY,48.0,True
or,qoky,LF0003,15,10,0.2,DY,40.0,y,50.0,True
or,l,LF0003,15,16,0.19999999999999998,DY,40.0,y,50.0,True
dain,dar,LF0003,13,12,0.19871794871794868,y,53.84615384615385,DY,50.0,True
dar,qoky,LF0003,12,10,0.18333333333333332,DY,50.0,y,50.0,True
ar,s,LF0030,17,17,0.17647058823529413,n,52.94117647058823,r,52.94117647058823,True
shey,chey,LF0018,11,13,0.1608391608391608,DY,54.54545454545455,y,53.84615384615385,True
or,s,LF0030,18,17,0.14379084967320266,n,55.55555555555556,r,52.94117647058823,True
or,ol,LF0003,15,42,0.10476190476190474,DY,40.0,y,45.23809523809524,True
dar,l,LF0003,12,16,0.08333333333333331,DY,50.0,y,50.0,True
dar,ol,LF0003,12,42,0.07142857142857142,DY,50.0,y,45.23809523809524,True
shey,shedy,LF0018,11,21,0.06926406926406928,DY,54.54545454545455,y,52.38095238095238,True
ar,qol,LF0002,15,10,0.6666666666666666,e·y,26.666666666666668,e·y,50.0,False
or,qol,LF0002,23,10,0.6086956521739131,e·y,30.434782608695652,e·y,50.0,False
or,r,LF0002,23,9,0.608695652173913,e·y,30.434782608695652,e·y,33.333333333333336,False
y,s,LF0002,14,20,0.6071428571428571,o·l,28.571428571428573,o·l,25.0,False
ar,r,LF0002,15,9,0.6,e·y,26.666666666666668,e·y,33.333333333333336,False
ar,dor,LF0002,15,9,0.6,e·y,26.666666666666668,e·y,33.333333333333336,False
dor,qol,LF0002,9,10,0.5666666666666667,e·y,33.333333333333336,e·y,50.0,False
or,dar,LF0014,8,9,0.5555555555555556,a·r,25.0,a·r,22.22222222222222,False
ol,dor,LF0002,40,9,0.5388888888888889,e·y,32.5,e·y,33.333333333333336,False
or,dor,LF0002,23,9,0.47826086956521735,e·y,30.434782608695652,e·y,33.333333333333336,False
ol,qol,LF0002,40,10,0.475,e·y,32.5,e·y,50.0,False
r,qol,LF0002,9,10,0.45555555555555555,e·y,33.333333333333336,e·y,50.0,False
dy,chckhy,LF0001,8,10,0.45,a·l,25.0,a·l,40.0,False
r,dor,LF0002,9,9,0.4444444444444444,e·y,33.333333333333336,e·y,33.333333333333336,False
y,chol,LF0002,14,12,0.42857142857142855,o·l,28.571428571428573,o·l,33.333333333333336,False
r,ol,LF0002,9,40,0.41388888888888886,e·y,33.333333333333336,e·y,32.5,False
ar,r,LF0030,17,14,0.3991596638655462,n,52.94117647058823,n,85.71428571428571,False
ar,dain,LF0010,9,8,0.3888888888888889,y,55.55555555555556,y,50.0,False
shey,chedy,LF0005,21,21,0.38095238095238093,e·y,33.333333333333336,e·y,61.904761904761905,False
or,ol,LF0002,23,40,0.3782608695652174,e·y,30.434782608695652,e·y,32.5,False
or,qol,LF0026,9,8,0.375,y,77.77777777777777,y,62.5,False
or,r,LF0030,18,14,0.37301587301587297,n,55.55555555555556,n,85.71428571428571,False
chey,al,LF0039,11,8,0.36363636363636365,e·y,54.54545454545455,e·y,62.5,False
ar,or,LF0002,15,23,0.36231884057971014,e·y,26.666666666666668,e·y,30.434782608695652,False
ar,ol,LF0002,15,40,0.35,e·y,26.666666666666668,e·y,32.5,False
or,al,LF0003,15,12,0.35,DY,40.0,DY,50.0,False
or,shedy,LF0003,15,8,0.35,DY,40.0,DY,75.0,False
chey,shedy,LF0001,24,35,0.34404761904761905,e·y,29.166666666666668,e·y,31.428571428571427,False
shey,shedy,LF0005,21,23,0.33747412008281574,e·y,33.333333333333336,e·y,43.47826086956522,False
shey,chey,LF0005,21,22,0.3354978354978355,e·y,33.333333333333336,e·y,63.63636363636363,False
or,chol,LF0007,15,33,0.32121212121212117,l,46.666666666666664,l,66.66666666666667,False
chol,l,LF0003,11,16,0.3181818181818182,y,54.54545454545455,y,50.0,False
shedy,chedy,LF0020,11,14,0.3181818181818182,l,63.63636363636363,l,50.0,False
or,s,LF0007,15,9,0.3111111111111111,l,46.666666666666664,l,66.66666666666667,False
shedy,chedy,LF0001,35,34,0.30168067226890755,e·y,31.428571428571427,e·y,26.470588235294116,False
chey,ol,LF0039,11,13,0.2867132867132868,e·y,54.54545454545455,e·y,61.53846153846154,False
dal,ol,LF0007,8,11,0.28409090909090906,r,37.5,r,45.45454545454545,False
shedy,chedy,LF0005,23,21,0.2836438923395445,e·y,43.47826086956522,e·y,61.904761904761905,False
s,chol,LF0002,20,12,0.2833333333333333,o·l,25.0,o·l,33.333333333333336,False
chey,chedy,LF0001,24,34,0.2818627450980392,e·y,29.166666666666668,e·y,26.470588235294116,False
dain,chol,LF0003,13,11,0.27972027972027974,y,53.84615384615385,y,54.54545454545455,False
or,ol,LF0026,9,18,0.2777777777777778,y,77.77777777777777,y,72.22222222222223,False
ain,l,LF0003,9,16,0.2777777777777778,y,55.55555555555556,y,50.0,False
chol,ol,LF0003,11,42,0.27489177489177485,y,54.54545454545455,y,45.23809523809524,False
chol,chey,LF0003,11,9,0.2727272727272727,y,54.54545454545455,y,66.66666666666667,False
qol,shedy,LF0003,25,8,0.27,DY,48.0,DY,75.0,False
ol,al,LF0039,13,8,0.2596153846153846,e·y,61.53846153846154,e·y,62.5,False
chor,chol,LF0007,15,33,0.2545454545454545,l,53.333333333333336,l,66.66666666666667,False
ar,or,LF0131,8,10,0.25,i·n,75.0,i·n,100.0,False
dar,al,LF0003,12,12,0.25,DY,50.0,DY,50.0,False
dar,shedy,LF0003,12,8,0.25,DY,50.0,DY,75.0,False
al,shedy,LF0003,12,8,0.25,DY,50.0,DY,75.0,False
chey,shedy,LF0005,22,23,0.24703557312252963,e·y,63.63636363636363,e·y,43.47826086956522,False
s,chor,LF0007,9,15,0.24444444444444444,l,66.66666666666667,l,53.333333333333336,False
or,qol,LF0010,10,9,0.2444444444444444,DY,60.0,DY,55.55555555555556,False
or,qol,LF0003,15,25,0.24,DY,40.0,DY,48.0,False
dain,ain,LF0003,13,9,0.23931623931623935,y,53.84615384615385,y,55.55555555555556,False
ain,ol,LF0003,9,42,0.23015873015873017,y,55.55555555555556,y,45.23809523809524,False
s,dar,LF0011,53,9,0.2222222222222222,i·n,100.0,i·n,77.77777777777777,False
s,dar,LF0012,53,9,0.2222222222222222,n,100.0,n,77.77777777777777,False
dar,ol,LF0011,9,24,0.2222222222222222,i·n,77.77777777777777,i·n,100.0,False
dar,ol,LF0012,9,24,0.2222222222222222,n,77.77777777777777,n,100.0,False
dar,o,LF0012,9,12,0.2222222222222222,n,77.77777777777777,n,100.0,False
dar,o,LF0011,9,12,0.2222222222222222,i·n,77.77777777777777,i·n,100.0,False
ain,chey,LF0003,9,9,0.22222222222222218,y,55.55555555555556,y,66.66666666666667,False
chol,qoky,LF0003,11,10,0.21818181818181817,y,54.54545454545455,y,50.0,False
shey,chedy,LF0013,15,20,0.21666666666666667,y,46.666666666666664,y,65.0,False
chey,ol,LF0003,9,42,0.21428571428571425,y,66.66666666666667,y,45.23809523809524,False
or,dar,LF0011,58,9,0.2049808429118774,i·n,96.55172413793103,i·n,77.77777777777777,False
or,dar,LF0012,57,9,0.20467836257309938,n,98.24561403508773,n,77.77777777777777,False
shey,chey,LF0013,15,21,0.2,y,46.666666666666664,y,66.66666666666667,False
shedy,chedy,LF0013,20,20,0.2,y,50.0,y,65.0,False
s,sar,LF0011,53,10,0.19999999999999998,i·n,100.0,i·n,80.0,False
ol,sar,LF0011,24,10,0.19999999999999998,i·n,100.0,i·n,80.0,False
o,sar,LF0011,12,10,0.19999999999999998,i·n,100.0,i·n,80.0,False
ar,dar,LF0011,33,9,0.19191919191919193,i·n,93.93939393939394,i·n,77.77777777777777,False
ar,dar,LF0012,32,9,0.1909722222222222,n,96.875,n,77.77777777777777,False
al,qol,LF0003,12,25,0.19,DY,50.0,DY,48.0,False
r,dar,LF0011,30,9,0.18888888888888888,i·n,96.66666666666667,i·n,77.77777777777777,False
r,dar,LF0012,30,9,0.18888888888888888,n,96.66666666666667,n,77.77777777777777,False
ol,qol,LF0010,23,9,0.18357487922705312,DY,69.56521739130434,DY,55.55555555555556,False
or,sar,LF0011,58,10,0.18275862068965518,i·n,96.55172413793103,i·n,80.0,False
s,ol,LF0019,11,11,0.18181818181818182,l,45.45454545454545,l,63.63636363636363,False
ain,qoky,LF0003,9,10,0.1777777777777778,y,55.55555555555556,y,50.0,False
