a,b,count_a,count_b,succ_cos,pred_cos,score
or,am,390,115,0.24458729751727215,0.6441525858055737,0.3644568840037626
chdy,char,108,79,0.3257481062401602,0.4542347353499097,0.36429409497308507
shody,chal,50,59,0.3913211101028953,0.3007990286863093,0.3641644856779195
char,ckhy,79,38,0.3608474126255952,0.3719007733054412,0.364163420829549
dy,sar,204,77,0.3551554710790414,0.3850437469403242,0.3641219538374262
shey,cthor,344,45,0.3115648253382012,0.48646989947758845,0.36403634758001735
cthy,oly,100,65,0.37519820390348274,0.3378344650393047,0.3639890822442293
oly,chl,65,33,0.29053378480953007,0.5350708867451959,0.3638949153902298
kal,o,30,114,0.28572372878555286,0.5455388926906635,0.363668277957086
ain,chy,149,197,0.34300780988421803,0.4118089417656097,0.3636481494486355
cthey,aly,47,39,0.3910155163133366,0.2994573324330664,0.36354806114925553
shar,d,34,53,0.41978507857607567,0.2322302670165153,0.36351863510820753
shckhy,daly,55,33,0.29633391290157185,0.5201563582822033,0.3634806465157613
she,air,41,95,0.3856582169456277,0.31149905972904085,0.3634104697806516
ar,lol,449,35,0.4302323058852145,0.20720543239614553,0.36332424383849377
cthey,sol,47,63,0.38017439884970694,0.3235957098824719,0.36320079215953643
shey,o,344,114,0.3198079639183995,0.46426901455648273,0.36314627910982444
am,qol,115,147,0.4450001692478411,0.17204384831351957,0.3631132729675446
shar,char,34,79,0.3557455875263763,0.38008444148323817,0.36304724371343483
al,shcthy,311,30,0.4207381347675466,0.22827457763419148,0.3629990676275401
kal,ody,30,38,0.32377049180327877,0.4540097729936951,0.36284227616040365
oky,chedy,103,341,0.36937179808069065,0.34727475434398375,0.3627426849596786
ckhey,l,32,156,0.3442431164216633,0.405583469608504,0.36264522237771546
chdy,dor,108,63,0.3530042832048537,0.3850937939173213,0.362631136418594
am,dol,115,97,0.40500392045692507,0.26366108857880616,0.36260107089348936
shar,key,34,33,0.3899403031611805,0.2987221347558689,0.362574852639587
shar,cthy,34,100,0.32860296820674906,0.4418373466638417,0.3625732817438768
ckhey,shor,32,91,0.41537154415638555,0.23933160850024743,0.3625595634595441
sy,kchy,40,36,0.3807622876266961,0.31897832793094233,0.36222709971796996
dal,o,190,114,0.33339772553641533,0.42885294193715323,0.3620342904566367
sho,tol,118,42,0.3997906538773761,0.2737165413288498,0.3619684201128182
oky,qo,103,51,0.4001999802031347,0.2723701965945219,0.36185104512055083
or,shedy,390,255,0.2545611397678348,0.6118233344543318,0.3617397981737839
chor,key,215,33,0.3557815692172085,0.3756265393042709,0.3617350602433272
oty,chl,114,33,0.31581729118753976,0.46883903496356094,0.36172381432034606
ar,dor,449,63,0.38585645859576784,0.30540821653536837,0.361721985977648
cthey,sal,47,48,0.36468565250625046,0.35441569575596665,0.3616046654811653
shar,sal,34,48,0.39137613425622486,0.29176927587535256,0.36149407674196316
shar,s,34,328,0.3417061643069478,0.4071119965931453,0.361327913992807
tol,chos,42,42,0.39925519264405107,0.27279597842750036,0.36131742837908587
chal,oty,59,114,0.34487720099416014,0.39954331605878407,0.3612770355135473
ody,chedy,38,341,0.3753148169200878,0.32839003192260624,0.36123738142084333
shol,ain,176,149,0.42190688072531823,0.2195060934946673,0.3611866445561229
shol,sal,176,48,0.4119751206706491,0.2425479214050107,0.36114696089095755
