a,b,count_a,count_b,family_obs_a,family_obs_b,family_cosine,shared_min_count,shared_families
cheo,oty,75,114,62,79,0.32311587211073645,13,9
chor,chos,215,42,199,43,0.3226777545625309,21,14
kchy,chy,36,197,36,157,0.32260253903223585,15,12
chol,ain,367,149,362,107,0.32249923628699534,50,28
or,oly,390,65,406,33,0.3218505424095106,21,18
tol,shckhy,42,55,48,64,0.32178174010510807,9,6
chdy,al,108,311,113,245,0.3216217645629093,45,39
chdy,am,108,115,113,38,0.3215879404125774,15,14
ckhey,cthey,32,47,32,50,0.3212698020578431,10,10
s,chl,328,33,291,28,0.3211445568141229,11,11
chor,o,215,114,199,83,0.3205666064469414,27,13
chy,shcthy,197,30,157,33,0.3195446260469984,16,13
tar,chl,43,33,35,28,0.3192211990345306,8,8
chy,cheo,197,75,157,62,0.31919352540908014,25,18
shol,or,176,390,181,406,0.3191212233909154,58,42
al,cthor,311,45,245,42,0.3191127759651489,27,21
sho,chcthy,118,84,124,94,0.31868871959954903,27,22
cthor,shcthy,45,30,42,33,0.3185476706864609,8,5
oky,shor,103,91,90,85,0.31826842558708995,21,15
al,cheo,311,75,245,62,0.3182487967781147,29,20
ar,am,449,115,388,38,0.3180669285639253,26,20
chor,tar,215,43,199,35,0.3179003662516388,19,10
shar,dy,34,204,24,144,0.3176599144195727,12,8
ain,shor,149,91,107,85,0.31744818348339404,24,19
ar,dol,449,97,388,89,0.31736493738084015,50,32
shey,chal,344,59,374,57,0.31716022140413086,32,27
or,cthor,390,45,406,42,0.3170892966638881,30,21
kar,sol,58,63,47,69,0.31665262852869713,11,8
chey,tol,510,42,580,48,0.3164293117237855,30,21
chor,air,215,95,199,70,0.3155203204639891,20,16
ain,cthey,149,47,107,50,0.315518645928133,15,13
dar,chl,287,33,242,28,0.31547619047619047,12,12
chal,kal,59,30,57,27,0.3153181588758187,11,11
oly,chckhy,65,141,33,153,0.31506261782676254,17,16
sho,cthor,118,45,124,42,0.31503893562042135,18,12
shey,oty,344,114,374,79,0.31486052618265153,40,29
